number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
0,-32.625061149375,POSCAR6525,0.24,0.0,0.0,0.0,0.0,-0.57,0.0,0.25,0.0,-0.31,0.0,0.0,-0.37,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.444,0.104,0.828,1.358,1.902
1,-32.058297945,POSCAR6527,-0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.62,0.0,0.35,0.42,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279,0.056,1.065,1.499,1.914
2,-32.9958508875,POSCAR6570,0.23,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,0.63,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.34,0.561,0.125,0.66,1.195,1.878
3,-32.688107603125,POSCAR6625,0.0,0.0,0.0,0.0,0.46,0.29,-0.13,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,-1.06,0.0,0.0,0.0,0.0,0.26,0.0,0.386,0.076,0.824,1.25,1.882
4,-32.12330611375,POSCAR6659,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.9,-0.15,1.2,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.96,1.986,1.94
5,-32.83884635,POSCAR6686,0.0,-0.49,0.0,0.29,0.0,0.0,0.0,-0.12,0.0,0.0,-0.14,0.0,-0.62,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.017,0.926,1.239,1.864
6,-32.900802455625,POSCAR6794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.29,0.97,0.0,0.84,0.0,0.0,-0.36,0.0,0.33,0.0,0.0,0.417,0.049,0.627,1.417,1.803
7,-32.61132994125,POSCAR6821,0.0,0.0,0.0,0.0,-0.28,0.0,-0.76,0.0,0.0,0.77,1.17,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.671,0.194,0.986,1.822,1.919
8,-32.85855722,POSCAR6843,0.0,0.0,0.0,-0.11,0.0,0.0,0.69,0.42,-0.57,0.0,0.0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,-0.58,0.0,0.0,0.657,0.149,0.296,1.167,1.899
9,-32.8542846775,POSCAR6848,0.0,0.0,0.0,0.17,0.0,-0.45,0.0,0.0,0.75,0.0,0.0,0.0,0.31,0.0,0.0,0.0,-0.28,0.0,0.0,0.0,0.2,0.516,0.084,0.44,1.004,1.852
10,-31.094863625,POSCAR6863,0.0,0.63,0.0,0.0,-1.01,-0.35,0.0,0.0,0.0,0.0,-0.25,0.38,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956,0.078,0.629,1.399,1.845
11,-32.68308576625,POSCAR6965,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,-0.13,-1.06,0.0,0.0,-0.55,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.05,0.83,1.294,1.837
12,-32.60619346625,POSCAR6975,0.0,0.0,-0.43,0.0,0.47,0.0,-0.53,0.0,0.55,0.0,0.0,0.0,0.0,0.0,-1.07,0.0,0.0,0.11,0.0,0.0,0.0,0.502,0.066,0.938,1.465,1.853
13,-32.45047502875,POSCAR6986,0.0,-0.37,0.59,0.0,0.0,0.0,-0.16,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,-0.14,0.0,0.85,0.0,0.0,0.634,0.109,0.842,1.353,1.802
14,-32.9101086075,POSCAR7058,-0.53,0.14,0.82,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,-0.42,0.0,0.0,0.0,0.0,0.0,0.361,0.027,0.887,1.569,1.837
15,-32.712387515,POSCAR7065,0.0,0.0,0.0,0.0,0.18,0.36,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.42,-0.74,-0.52,0.0,0.0,0.0,0.0,0.509,0.063,0.564,1.125,1.889
16,-31.214718914375,POSCAR7120,0.1,0.83,0.0,0.0,-0.59,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,-0.85,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.863,0.0,1.1,1.512,1.802
17,-33.0210169025,POSCAR7126,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,-0.47,0.0,0.38,0.0,0.0,0.42,0.0,0.0,-0.33,0.0,0.402,0.089,0.459,0.997,1.852
18,-32.662365806875,POSCAR7283,0.41,0.0,0.31,0.0,0.0,1.12,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.326,0.146,1.052,1.932,1.805
19,-32.651457790625,POSCAR7347,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.1,0.99,0.52,0.0,0.0,0.0,0.0,-0.23,0.0,0.766,0.081,0.706,1.371,1.895
20,-9999.0,POSCAR7438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22,0.0,0.76,0.0,0.98,0.0,-1.11,0.17,0.0,0.27,0.0,0.0,0.0,0.296,0.047,0.971,1.709,1.875
